timestamp,micro_response_time,micro_vus,mono_response_time,mono_vus,hybrid_response_time,hybrid_vus,dist_micro_response_time,dist_micro_vus,dist_mono_response_time,dist_mono_vus,dist_hybrid_response_time,dist_hybrid_vus
49,125.77818339999999,100.0,109.12515620000002,100.0,71.9888998,100.0,118.45370039999997,100.0,67.36491369999999,100.0,180.91408120000003,100.0
50,143.0446075,100.0,147.608381,100.0,102.57210460000002,100.0,96.9364879,100.0,72.1998366,100.0,132.84513760000002,100.0
51,215.57953660000004,100.0,126.77112889999998,100.0,117.52870050000001,100.0,47.2495885,100.0,52.8022294,100.0,162.00817460000002,100.0
52,91.88959109999999,100.0,144.81839250000002,100.0,142.09827239999998,100.0,105.8345151,100.0,47.07245479999999,100.0,113.35082689999999,100.0
53,153.08795650000002,100.0,138.4846915,100.0,122.84804190000003,100.0,125.93053470000002,100.0,117.22171639999999,100.0,165.5947749,100.0
54,94.56003569999999,100.0,111.7424489,100.0,436.95092439999996,100.0,41.4428083,100.0,68.1425307,100.0,180.2653096,100.0
55,111.3108875,100.0,88.9187287,100.0,253.8777333,100.0,167.6863341,100.0,104.22756629999999,100.0,98.76098619999999,100.0
56,154.8678228,100.0,123.9877872,100.0,150.1855049,100.0,43.4606558,100.0,82.4327248,100.0,177.86400010000003,100.0
57,79.1891169,100.0,116.40381099999999,100.0,228.97747020000003,100.0,124.33783859999998,100.0,71.22414719999999,100.0,101.2959837,100.0
58,95.37186620000001,100.0,142.7129959,100.0,137.4625465,100.0,108.8552094,100.0,81.0186804,100.0,161.005766,100.0
59,83.09969939999999,100.0,95.65108039999998,100.0,115.5153787,100.0,86.08954839999998,100.0,206.51380079999998,100.0,134.8382097,100.0
60,260.77383160000005,100.0,129.489621,100.0,185.7175031,100.0,38.363340400000006,100.0,22.4141224,100.0,108.3459134,100.0
61,217.2204663,100.0,137.68352169999997,100.0,160.6085205,100.0,31.395133700000002,100.0,54.0212368,100.0,124.02968659999999,100.0
62,197.59492769999997,100.0,83.7823565,100.0,98.9849651,100.0,47.1307983,100.0,86.6684585,100.0,146.1934355,100.0
63,129.06853500000003,100.0,101.291776,100.0,138.4169853,100.0,196.0454057,100.0,79.4320203,100.0,162.8356099,100.0
64,132.5133183,100.0,79.4505097,100.0,225.9571428,100.0,139.00663719999997,100.0,135.46709199999998,100.0,160.58993199999998,100.0
65,138.64994819999998,100.0,90.12961370000001,100.0,127.87927300000001,100.0,121.3137394,100.0,31.386123999999995,100.0,181.53156040000002,100.0
66,102.1905039,100.0,116.25013570000002,100.0,185.79228170000002,100.0,128.98132040000002,100.0,72.83719450000001,100.0,199.92260130000003,100.0
67,87.8528536,100.0,101.9106798,100.0,101.0678705,100.0,49.6117519,100.0,98.3773722,100.0,209.03233099999997,100.0
68,85.9592772,100.0,96.625304,100.0,206.97351499999996,100.0,66.99509320000001,100.0,31.948353100000002,100.0,146.20582380000002,100.0
69,246.69136959999997,100.0,100.301665,100.0,158.7907271,100.0,66.74532590000001,100.0,114.87298610000002,100.0,133.8423042,100.0
70,125.16666859999998,100.0,299.0371457,100.0,187.0065346,100.0,65.3671602,100.0,269.43986129999996,100.0,147.8361312,100.0
71,105.8586625,100.0,133.3502111,100.0,117.95058509999998,100.0,61.7534396,100.0,84.8314097,100.0,134.7263951,100.0
72,196.95775639999997,100.0,141.55105439999997,100.0,66.78138859999999,100.0,100.0843466,100.0,83.0901812,100.0,149.7880589,100.0
73,212.12163459999996,100.0,112.6633308,100.0,60.607313,100.0,93.56970549999998,100.0,95.0258588,100.0,279.64189150000004,100.0
74,110.2749828,100.0,103.9187934,100.0,46.887143599999995,100.0,83.2963087,100.0,163.4663833,100.0,139.31708559999998,100.0
75,48.3816487,100.0,89.252923,100.0,103.31745499999997,100.0,20.951191400000003,100.0,32.0191169,100.0,178.61699360000003,100.0
76,142.7463699,100.0,171.87500719999997,100.0,52.873010699999995,100.0,128.56236819999998,100.0,94.52741169999999,100.0,139.4615841,100.0
77,289.1889842,100.0,77.77422880000002,100.0,172.6816771,100.0,66.38552210000002,100.0,71.3815765,100.0,128.3751629,100.0
78,89.3716669,100.0,96.0448318,100.0,39.620968700000006,100.0,115.8660339,100.0,53.315841,100.0,151.29372329999998,100.0
79,85.6992322,100.0,102.8039824,100.0,54.34585410000001,100.0,21.152656999999998,100.0,47.68983949999999,100.0,141.6295263,100.0
80,96.35447439999999,100.0,110.3745469,100.0,53.020089399999996,100.0,56.81326700000001,100.0,141.01508840000002,100.0,126.21976609999997,100.0
81,70.6434685,100.0,94.7392839,100.0,169.427048,100.0,62.9576107,100.0,165.17307039999997,100.0,123.7186363,100.0
82,338.87954490000004,100.0,66.9193404,100.0,48.7023675,100.0,101.8779918,100.0,49.6428158,100.0,118.3699667,100.0
83,99.7212718,100.0,151.010498,100.0,76.80470389999999,100.0,59.2319404,100.0,76.0161487,100.0,126.84020420000002,100.0
84,151.0513303,100.0,96.14994800000001,100.0,53.797565899999995,100.0,160.73741040000002,100.0,37.110834499999996,100.0,106.9631218,100.0
85,112.44642210000002,100.0,114.08113230000001,100.0,59.0099039,100.0,632.6445047,100.0,64.32361920000001,100.0,114.18672590000001,100.0
86,59.3328572,100.0,115.017156,100.0,80.31367770000001,100.0,188.9531799,100.0,112.9255348,100.0,113.78772450000001,100.0
87,81.60592670000001,100.0,153.83528080000002,100.0,142.10245790000005,100.0,29.995715900000004,100.0,54.841239699999996,100.0,186.63704549999997,100.0
88,114.95463260000001,100.0,67.2286448,100.0,57.0207444,100.0,38.9407676,100.0,41.1391607,100.0,123.60762340000001,100.0
89,111.4579076,100.0,81.64512340000002,100.0,59.98929510000001,100.0,60.688424299999994,100.0,91.47519419999999,100.0,127.53537130000002,100.0
90,68.7803,100.0,136.57374279999996,100.0,59.556846900000004,100.0,88.84870599999999,100.0,48.499215400000004,100.0,170.77536020000002,100.0
91,42.4152502,100.4,122.45903580000001,100.4,37.3019635,100.4,38.357733399999994,100.4,89.73687029999999,100.4,171.882797,100.4
92,40.5737371,102.0,166.83071869999998,102.0,60.4290697,102.0,50.58394700000001,102.0,109.6383869,102.0,151.2158513,102.0
93,56.916765,103.6,83.2304831,103.6,74.72769860000001,103.6,89.9520835,103.6,101.6952423,103.6,145.87272520000002,103.6
94,53.076963699999986,105.4,121.57766669999998,105.4,55.45464410000001,105.4,22.4468644,105.4,63.35028129999999,105.4,183.7694693,105.4
95,67.9786099,107.0,78.84507240000002,107.0,59.792102799999995,107.0,20.6484307,107.0,35.1627734,107.0,148.890127,107.0
96,45.4021077,108.6,160.42404770000002,108.6,73.3269968,108.6,52.4498306,108.6,171.14107410000003,108.6,123.500162,108.6
97,2136.0440516999997,110.4,127.8059902,110.4,44.5908155,110.4,162.9158899,110.4,41.100009,110.4,127.03082220000002,110.4
98,121.5059761,112.0,158.7413168,112.0,45.839970199999996,112.0,83.98031569999999,112.0,99.4697759,112.0,127.5815447,112.0
99,222.3920863,113.6,128.87851179999998,113.6,80.1180065,113.6,34.9563786,113.6,63.50204169999999,113.6,138.0540653,113.6
100,160.7223285,115.4,107.5341698,115.4,57.59263689999999,115.4,61.637275,115.4,73.4191909,115.4,131.2547285,115.4
101,154.0465127,117.0,110.22512000000002,117.0,82.56770589999999,117.0,57.8101124,117.0,52.44306720000001,117.0,142.4794129,117.0
102,80.68328070000001,118.6,316.0320318,118.6,68.20890890000001,118.6,47.6797308,118.6,67.54154409999998,118.6,155.6110637,118.6
103,104.86622830000002,120.4,133.8886049,120.4,67.68337749999999,120.4,120.96139460000002,120.4,44.8914333,120.4,165.97665419999998,120.4
104,176.6440607,122.0,215.46173549999997,122.0,50.8643238,122.0,46.988786600000005,122.0,128.036058,122.0,145.41219170000002,122.0
105,148.81996299999997,123.6,292.9265854,123.6,64.44390320000001,123.6,53.4903596,123.6,189.14355340000003,123.6,216.77197750000005,123.6
106,319.4197459,125.4,1084.4795589,125.4,71.2903374,125.4,61.38610520000001,125.4,39.0782536,125.4,171.00533229999996,125.4
107,357.6767042,127.0,509.0487296,127.0,70.68402069999999,127.0,162.2304896,127.0,78.3622387,127.0,260.770607,127.0
108,234.67290659999998,128.6,192.561466,128.6,62.277124099999995,128.6,79.79614089999998,128.6,44.1109081,128.6,225.01008929999998,128.6
109,268.6581714,130.4,163.5699649,130.4,68.2777181,130.4,82.7687779,130.4,78.5716165,130.4,148.58994610000002,130.4
110,107.64905719999999,132.0,207.40156860000002,132.0,104.39294399999999,132.0,97.86512890000002,132.0,67.5374455,132.0,113.95819120000002,132.0
111,91.3008378,133.6,180.5918881,133.6,79.1640638,133.6,72.1208644,133.6,50.2945593,133.6,231.18945049999996,133.6
112,170.03912300000002,135.4,238.73648210000002,135.4,196.30406319999997,135.4,39.3249397,135.4,76.5401388,135.4,179.7717981,135.4
